codiu   loinc_code,long_common_name,name,status,component,property,time,system,scale,method,class,type,short_name,example_ucum_units,example_unit,description,history_first_released,history_last_updated,history_last_change_type,version_last_changed_core,fetal_descriptors,panels,groups,related_names,source_files
12126-9,,Fetal chromosome X & Y analysis in Amniotic fluid by NAA with probe detection,ACTIVE,Study observation,Find,Pt,XXX,Nar,US,OB.US,2,US Study,,,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
12127-7,,Noninvasive prenatal fetal aneuploidy screen panel - Fetal cfDNA (4 targets),DEPRECATED,Study observation,Find,Pt,Yolk sac^Fetus,Qn,US,OB.US,2,Deprecated US Yolk sac Fetus Study Qn,,,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
12128-5,,Head circumference/Abdominal circumference percentile US+Per gestational age,ACTIVE,Study observation,Find,Pt,Yolk sac^Fetus,Nar,US,OB.US,2,US Yolk sac Fetus Study,%,%,,1.0j-a,,,,HC/AC,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
12129-3,,Fetal Head circumference/Abdominal circumference by US,ACTIVE,Study observation.general,Imp,Pt,^Fetus,Nom,US,OB.US,2,US Fetus Study [Imp],,,,1.0j-a,,,,HC/AC,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
12130-1,,Fetal Femur diaphysis [Length]/Head Diameter.biparietal US+Ratio,ACTIVE,Study observation.general,Imp,Pt,^Fetus,Nar,US,OB.US,2,US Fetus Study [Imp],{ratio},ratio,,1.0j-a,,,,,,,Length; OB; OB.GEN; OB.US; Obstetrics; Quantitative; Random; Ratio; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_2.json; v1/v2 CSVs
12132-7,,Fetal Head Diameter.biparietal [Length] max US,ACTIVE,Study observation.general,Imp,Pt,^Patient,Nar,US,OB.US,2,US Study [Imp],mm,mm,,1.0j-a,,,,BPD,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
12133-5,,Fetal Head Diameter.biparietal [Length] max US^First,ACTIVE,Systolic flow/Diastolic flow,VelRto,Pt,Cerebral artery anterior^Fetus,Qn,US.doppler,OB.US,2,Fet Cerebral a Ant Sys flow/Dias DOP,{ratio},mm,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
12134-3,,Fetal Head Diameter.biparietal [Length] max US^Second,ACTIVE,Systolic flow/Diastolic flow,VelRto,Pt,Cerebral artery anterior,Qn,US.doppler,OB.US,2,Cerebral a Ant Sys flow/Dias DOP,{ratio},mm,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
12135-0,,Fetal Head Diameter.biparietal [Length] max US^Third,ACTIVE,Systolic flow/Diastolic flow,VelRto,Pt,Cerebral artery middle^Fetus,Qn,US.doppler,OB.US,2,Fet Cerebral a Middle Sys flow/Dias DOP,{ratio},mm,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
12136-8,,Fetal Head Diameter.biparietal [Length] max US^Fourth,ACTIVE,Systolic flow/Diastolic flow,VelRto,Pt,Cerebral artery middle,Qn,US.doppler,OB.US,2,Cerebral a Middle Sys flow/Dias DOP,{ratio},mm,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
12137-6,,Fetal Head Diameter.biparietal [Length] max US^Fifth,ACTIVE,Systolic flow/Diastolic flow,VelRto,Pt,Ovarian artery.left,Qn,US.doppler,OB.US,2,Ovarian a-L Sys flow/Dias DOP,{ratio},mm,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
12138-4,,Fetal Head Diameter.biparietal [Length] max US^Sixth,ACTIVE,Systolic flow/Diastolic flow,VelRto,Pt,Ovarian artery.right,Qn,US.doppler,OB.US,2,Ovarian a-R Sys flow/Dias DOP,{ratio},mm,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
12139-2,,Fetal Head Diameter.biparietal [Length] max US^Seventh,ACTIVE,Systolic flow/Diastolic flow,VelRto,Pt,Umbilical artery.at fetus^Fetus,Qn,US.doppler,OB.US,2,Fet Umb a at fetus Sys flow/Dias DOP,{ratio},mm,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
12140-0,,Fetal Head Diameter.biparietal [Length] max US^Eighth,ACTIVE,Systolic flow/Diastolic flow,VelRto,Pt,Umbilical artery.at placenta^Fetus,Qn,US.doppler,OB.US,2,Fet Umb a.at plc Sys flow/Dias DOP,{ratio},mm,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
12141-8,,Fetal Head Diameter.biparietal [Length] max US^Ninth,ACTIVE,Systolic flow/Diastolic flow,VelRto,Pt,Umbilical artery.between fetus and placenta^Fetus,Qn,US.doppler,OB.US,2,Fet Umb a fetus-plc Sys flow/Dias DOP,{ratio},mm,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
12142-6,,Fetal Head Diameter.biparietal [Length] max US^Tenth,ACTIVE,Systolic flow/Diastolic flow,VelRto,Pt,Uterine artery.left,Qn,US.doppler,OB.US,2,Uterine a-L Sys flow/Dias DOP,{ratio},mm,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
12143-4,,Fetal Head Diameter.biparietal [Length] max US^Eleventh,ACTIVE,Systolic flow/Diastolic flow,VelRto,Pt,Uterine artery.right,Qn,US.doppler,OB.US,2,Uterine a-R Sys flow/Dias DOP,{ratio},mm,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
12144-2,,Fetal Head Diameter.biparietal [Length] max US^Twelfth,ACTIVE,Systolic flow/Diastolic flow,VelRto,Pt,^Patient,Qn,US.doppler,OB.US,2,Sys flow/Dias DOP,{ratio},mm,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
12145-9,,Fetal Head Diameter.biparietal [Length] max US^Thirteenth,ACTIVE,Thickness,Len,Pt,Endometrium,Qn,US.measured,OB.US,2,Endometrium Thickness US.meas,mm,mm,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
12146-7,,Fetal Head Diameter.biparietal [Length] max US^Fourteenth,ACTIVE,Thickness,Len,Pt,Nuchal fold^Fetus,Qn,US.measured,OB.US,2,Fet Nuchal fold Thickness US.meas,mm,mm,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
18850-8,,Narrative Fetal presentation US,ACTIVE,Fetal presentation,Type,Pt,Pelvis,Nar,US,OB.US,2,Fet pres US,,,of a microscopic part of a surgical papule test.,1.0l,,,,Presentation,,,,loinc_fetal_biometry_organized_entries_3.json
33071-2,,Fetal Spine Length from T6 to L3 US,ACTIVE,Length from T6 to L3,Len,Pt,Spine^Fetus,Qn,US.measured,OB.US,2,Fet Spine Length from T6 to L3 US.meas,mm,,,2.09,,,,,,,,loinc_fetal_biometry_organized_entries_1.json
33145-4,,Fetal Abdomen Circumference estimated from gestational age by method of Australian Society of Ultrasound Medicine 2000 (US),ACTIVE,Perimeter,Len,Pt,Abdomen^Fetus,Qn,US.estimated from ASUM 2000,OB.US,2,Fet Abd Circum from GA.ASUM00,mm,,,2.09,,,,AC,,,,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
33146-2,,Fetal Abdomen Circumference estimated from gestational age by method of Hadlock 1984 (US),ACTIVE,Perimeter,Len,Pt,Abdomen^Fetus,Qn,US.estimated from Hadlock 1984,OB.US,2,Fet Abd Circum from GA.Hadlock 1984,mm,mm,,2.09,,,,AC,,,,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
33162-9,,Fetal Body weight US+Estimated from Hadlock 1991,ACTIVE,Body weight,Mass,Pt,^Fetus,Qn,US+Estimated from Hadlock 1991,OB.US,2,EFW from Hadlock 1991,kg,,,2.09,,,,EFW,,,,loinc_fetal_biometry_organized_entries_3.json
33166-0,,Fetal Femur diaphysis [Length] estimated from gestational age by Hadlock 1984 (US),ACTIVE,Long axis,Len,Pt,Femur.diaphysis^Fetus,Qn,US.estimated from Hadlock 1984,OB.US,2,Fet Femur Length from GA.Hadlock 1984,mm,,,2.09,,,,Femur,,,,loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
33168-6,,Fetal Femur diaphysis [Length] estimated from gestational age by Jeanty 1982 (US),ACTIVE,Long axis,Len,Pt,Femur.diaphysis^Fetus,Qn,US.estimated from Jeanty 1982,OB.US,2,Fet Femur Length from GA.Jeanty82,mm,mm,,2.09,,,,Femur,,,,loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
33173-6,,Fetal Head Circumference estimated from gestational age by method of Hadlock 1984 (US),ACTIVE,Perimeter,Len,Pt,Head^Fetus,Qn,US.estimated from Hadlock 1984,OB.US,2,Fet Head Circum from GA.Hadlock 1984,mm,,,2.09,,,,HC,,,,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
33190-0,,Fetal body weight growth percentile estimated from GA by Hadlock 1985 (US),ACTIVE,Body weight growth percentile,Prctl,Pt,^Fetus,Qn,US.estimated from Hadlock 1985,OB.US,2,FWP from GA.Hadlock85,%,%,,2.09,,,,EFW Percentile,,,,loinc_fetal_biometry_organized_entries_3.json
49051-6,,Gestational age in weeks,ACTIVE,Gestational age in W,Time,Pt,^Fetus,Qn,,OB.US,2,GA (weeks),wk,,,2.21,2.73,MIN,,,56076-3 Pregnancy weight gain.current,LG50112-8 Gestational ageTime^Fetus,,loinc_fetal_biometry_organized_entries_1.json
53686-2,,Fetal Neck Narrative Study observation US,ACTIVE,Study observation,Find,Pt,Neck^Fetus,Nar,US,OB.US,2,US Neck Fetus Study,,,Description of appearance of the fetal neck.,2.26,,,,Face/Neck Abnormal,,,,loinc_fetal_biometry_organized_entries_3.json
53691-2,,Gestational age Estimated from patient reported estimated date of conception,ACTIVE,Gestational age,Time,Pt,^Fetus,Qn,Estimated from patient reported EDC,OB.US,2,GA Estimated from patient reported EDC,d,days,GA estimated from patient-stated EDC.,2.26,2.40,MIN,,,,LG50112-8 Gestational ageTime^Fetus,,loinc_fetal_biometry_organized_entries_1.json; v1/v2 CSVs
53693-8,,Gestational age Estimated from conception date,ACTIVE,Gestational age,Time,Pt,^Fetus,Qn,Estimated from conception date,OB.US,2,GA Est from conception date,d,,GA estimated from conception date.,2.26,2.73,MIN,,,,LG50112-8 Gestational ageTime^Fetus,,loinc_fetal_biometry_organized_entries_1.json; v1/v2 CSVs
55283-6,,Fetal Heart rate,ACTIVE,Heart rate,NRat,Pt,^Fetus,Qn,,H&P.HX,2,Fet Heart rate,{beats}/min,beats/min,,2.27,2.73,MIN,,,55177-0 ED History and Physical Examination Data Set DEEDS; 7082-0 Antepartum record panel,,Ausc; H+P; OB; Obstetrics; QNT; Random,loinc_fetal_biometry_organized_entries_1.json; v1/v2 CSVs
57068-9,,Fetal Heart rate by Auscultation,ACTIVE,Heart rate,NRat,Pt,^Fetus,Qn,Auscultation,H&P.HX,2,Fet Heart rate Auscultation,{beats}/min,beats/min,,2.29,2.54,MIN,,,57082-0 Antepartum record panel,,Ausc; H+P; OB; Random,loinc_fetal_biometry_organized_entries_1.json; v1/v2 CSVs
80415-3,,Fetal Body weight growth percentile US+Estimated from Hadlock 1991,ACTIVE,Body weight growth percentile,Prctl,Pt,^Fetus,Qn,US+Estimated from Hadlock 1991,OB.US,2,FWP by Hadlock91,%,%,,2.54,,,,EFW Percentile,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json
89087-1,,Fetal Body weight [Mass] estimated from AC & FL on US by Hadlock 1984 (lb-oz),DISCOURAGED,Body weight,Mass,Pt,^Fetus,Qn,Estimated,BDYWGT.ATOM,2,Fet Weight Est,{lb-oz},lb-oz,"Fetal body weight is an important measurement variable for assessing both fetal and maternal health. There are many different methods for estimating fetal body weight, including ultrasound, fetal palpitation, and formulas based on various maternal measurements, such as fundal height. Variables that influence the accuracy of body weight estimation include whether the fetus is within the normal range for body weight given its gestational age, maternal body mass index, and the skill of the clinician estimating the weight. Ultrasound may be the most reliable method for estimating fetal body weight at term if the technology and an experienced ultrasonographer is available. [PMID: 28392581]",2.64,,,,EFW,,,,loinc_fetal_biometry_organized_entries_2.json; v1/v2 CSVs
89692-8,,Heart rate 10 minutes mean Fetus,ACTIVE,Heart rate,NRat,10M^mean,^Fetus,Qn,,HRTRATE.MOLEC,2,Fet 10M Mean Heart rate,{beats}/min,beats/min,"Baseline FHR determined from a 10-minute segment, rounded to nearest 5 bpm; excludes periods with significant variability or periodic changes; baseline must last >=2 minutes.",2.65,2.65,ADD,,FHR,,,10 minutes; Average; Count/time; Fetal; Gynecology; OB; Pulse; Quantitative,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json
90367-4,,Gestational age Estimated from physical exam,ACTIVE,Gestational age,Time,Pt,^Fetus,Qn,Estimated from physical examination,OB.US,2,GA Est from PE,d,days,GA based on clinician’s physical examination.,2.65,2.65,ADD,,Gestational Age,,LG50112-8 Gestational ageTime^Fetus,,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
95940-3,,Fetal Head Diameter.biparietal percentile per estimated gestational age,ACTIVE,Diameter.biparietal,Prctl,Pt,Head^Fetus,Qn,Per estimated gestational age,OB.US,2,Fet BPD US Prctl per est GA,%,%,,2.69,2.69,ADD,,BPD,,,,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json
96985-7,,Fetal sex cell-free DNA [Presence] in Plasma by Molecular genetics method,ACTIVE,Fetal sex,Type,Pt,POC,Nom,Molgen,MOLPATH,1,Sex POC,,,The fetal sex based on genetic analysis of products of conception (POC).,2.70,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
98031-8,,Fetal Body weight discordance US+Estimated from Hadlock 1991,ACTIVE,Body weight discordance,MRto,Pt,^Fetuses,Qn,US+Calculated,OB.US,2,EFW discordance US+Calc,%,%,The estimated fetal weight discordance (EFWD) is a measure of the weight difference between multiple fetuses during pregnancy. Greater discordance is associated with increased risk of adverse outcomes. It is calculated as 1 - Estimated fetal weight ratio [LOINC: 98032-6].,2.70,,,,,48770-2 Fetal Biophysical profile panel US,,OB; OB.GEN; OB.US; Obstetrics; Ordinal; Random; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_2.json; v1/v2 CSVs
98032-6,,Fetal Body weight.current fetus compared to co-fetus US+Estimated from Hadlock 1991,ACTIVE,Body weight.current fetus/Body weight.heaviest fetus,MRto,Pt,^Fetuses,Qn,US+Calculated,OB.US,2,Fetal bdy wt/Heaviest fetus wt US+Calc,%,%,"The ratio of the body weight of one fetus compared to the weight of the heaviest fetus, also known as the estimated fetal weight ratio or EFWR, is a measure of discordance between multiple fetuses in a single pregnancy. It is used to calculate the estimated fetal weight discordance (EFWD) [LOINC: 98031-8], where EFWD = 1 - EFWR.",2.70,,,,,,,OB; OB.GEN; OB.US; Obstetrics; Quantitative; Random; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_2.json; v1/v2 CSVs
100230-2,,Cervical length estimated by ultrasound (OBGYN),ACTIVE,Routine prenatal assessment panel,-,Pt,^Patient,-,,PANEL.H&P,2,Routine prenatal pnl,mm,,"This panel contains terms to record the routine observations that occur during prenatal visits, such as weight, fundal height, urine protein, glucose, and albumin, and fetal heart rate. [PMID: 24506122]",2.73,2.74,ADD,,,,LG41759-0 Cervical length|Len|Cervix^Fetus|Pt|Qn,OB; OB.GEN; OB.US; Obstetrics; Quantitative; Random; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_2.json; v1/v2 CSVs
